TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
VLID3;24,30;7,31;5,63;1,18;0,70;36,36;21,93;15,95;4,09;4,21;0,11;0,03;0,90;2,04;-1,49;2,87;20,92;12,52;18,81;0,60;0,39;0,78;5,40;28,71;7.285.110,38;20,64;4,32;0,08;1.988.623.912,50
VSPT3;5,00;;-1,28;0,44;0,15;21,10;-8,21;-14,35;-2,23;-2,12;0,12;-0,02;0,18;2,57;-0,17;1,85;-34,74;-11,66;-20,67;0,34;0,66;0,81;7,66;;0,00;11,27;-3,91;0,02;714.038.920,00
VSPT4;0,00;;0,00;0,00;0,00;21,10;-8,21;-14,35;0,00;-2,12;0,12;-0,02;0,00;0,00;0,00;1,85;-34,74;-11,66;-20,67;0,34;0,66;0,81;7,66;;;11,27;-3,91;0,00;714.038.920,00
VSTE3;8,46;0,56;-593,50;0,94;0,59;64,31;2,92;-0,15;30,46;39,26;8,80;0,27;0,89;4,77;-0,84;1,69;-0,16;-0,10;0,57;0,63;0,37;0,66;-2,26;;436.680,10;9,05;-0,01;5,89;964.444.314,60
VTRU3;6,16;;;;;;;;;;;;;;;;;;;;;;;;568.552,95;;0,00;;7.667.115.314,32
VULC3;15,68;20,09;7,90;2,10;1,42;42,23;19,42;18,59;7,56;7,37;-0,19;-0,05;1,47;2,97;-5,29;2,87;26,61;17,92;22,00;0,67;0,33;0,96;17,67;29,09;8.700.883,10;7,46;1,99;-2,33;4.306.609.905,92
VVEO3;2,05;6,66;-10,82;0,22;0,06;13,91;0,36;-0,53;15,81;65,96;50,15;0,70;0,06;0,20;-0,15;2,21;-2,03;-0,59;-5,18;0,29;0,71;1,12;;;3.065.368,38;9,34;-0,19;0,08;661.782.246,40
WEGE3;52,77;1,43;36,35;11,23;6,10;25,74;20,18;17,06;30,72;30,30;-0,43;-0,16;6,20;21,25;-17,63;1,78;30,89;16,78;25,75;0,54;0,44;0,98;22,11;35,41;259.288.393,90;4,70;1,45;2,06;221.492.470.754,46
WEST3;0,50;;-1,38;0,24;0,18;39,10;-29,99;-21,92;-1,01;1,06;2,07;-0,49;0,30;0,45;-0,43;2,94;-17,29;-12,68;-23,20;0,73;0,27;0,58;10,76;;39.745,71;2,09;-0,36;0,04;55.546.743,00
WHRL3;3,84;9,88;10,25;2,31;0,60;17,22;8,25;4,49;5,58;4,10;-1,65;-0,68;0,46;12,19;-2,03;1,07;22,52;5,81;25,02;0,26;0,74;1,29;13,15;25,53;17.750,86;1,66;0,37;0,18;5.950.850.606,36
WHRL4;4,22;9,89;11,27;2,54;0,65;17,22;8,25;4,49;6,13;4,10;-1,65;-0,68;0,51;13,39;-2,23;1,07;22,52;5,81;25,02;0,26;0,74;1,29;13,15;25,53;65.012,90;1,66;0,37;0,19;5.950.850.606,36
WIZC3;5,57;4,42;4,96;1,49;0,36;63,22;42,94;14,23;1,64;1,81;0,16;0,15;0,71;-5,72;-0,45;0,77;29,99;7,19;23,58;0,24;0,49;0,51;13,90;0,22;2.425.115,90;3,75;1,12;0,06;890.683.560,74
WLMM3;24,85;4,24;6,49;1,19;0,79;11,25;6,76;4,26;4,08;5,01;0,47;0,14;0,28;2,10;-2,06;2,55;18,33;12,15;15,14;0,66;0,34;2,85;25,90;54,05;236,71;20,90;3,83;0,20;1.007.098.317,00
WLMM4;30,00;3,86;7,83;1,44;0,95;11,25;6,76;4,26;4,93;5,01;0,47;0,14;0,33;2,54;-2,49;2,55;18,33;12,15;15,14;0,66;0,34;2,85;25,90;54,05;41.000,43;20,90;3,83;0,24;1.007.098.317,00
YDUQ3;8,39;3,26;11,79;0,75;0,26;60,34;14,59;3,87;3,13;8,71;5,58;1,34;0,46;2,59;-0,34;1,70;6,40;2,18;8,50;0,34;0,66;0,56;7,30;-20,42;32.566.185,29;11,13;0,71;1,25;2.425.455.459,89
ZAMP3;2,26;;-10,06;0,56;0,20;66,21;1,88;-2,11;11,26;17,96;6,69;0,33;0,21;2,82;-0,29;1,29;-5,57;-1,96;2,42;0,35;0,65;0,93;10,35;;1.548.950,90;4,04;-0,22;0,49;919.671.732,70
